p_val,puntaje,q_refs,caso
0.85,0.080354314537639,92,2
0.85,0.079570816275183,93,2
0.85,0.079790525385254,94,2
0.85,0.081930357324416,95,2
0.85,0.079777506644093,96,2
0.85,0.080171891044688,97,2
0.85,0.079613827753281,98,2
0.85,0.080636207632612,99,2
0.85,0.080237367895516,1,3
0.85,0.079083024271927,2,3
0.85,0.077652795282306,3,3
0.85,0.079907467649052,4,3
0.85,0.079351010859388,5,3
0.85,0.079452523772194,6,3
0.85,0.081438309661823,7,3
0.85,0.080061989912121,8,3
0.85,0.079715400562817,9,3
0.85,0.085167173140449,10,3
0.85,0.081897435884811,11,3
0.85,0.079100525279322,12,3
0.85,0.079910872782531,13,3
0.85,0.079481348980593,14,3
0.85,0.08069866055536,15,3
0.85,0.079620720230224,16,3
0.85,0.079224228447204,17,3
0.85,0.081917561077061,18,3
0.85,0.082115468800351,19,3
0.85,0.081302384116503,20,3
0.85,0.080327169842152,21,3
0.85,0.078633879107021,22,3
0.85,0.082596905044989,23,3
0.85,0.079530521147133,24,3
0.85,0.080535233625527,25,3
0.85,0.080169423588609,26,3
0.85,0.079671736740048,27,3
0.85,0.081337249424469,28,3
0.85,0.08091779038992,29,3
0.85,0.08238514072484,30,3
0.85,0.080725825607009,31,3
0.85,0.080635753713675,32,3
0.85,0.081302176058946,33,3
0.85,0.079542401821748,34,3
0.85,0.078994314731467,35,3
0.85,0.080165410693313,36,3
0.85,0.078966042566688,37,3
0.85,0.079758921137451,38,3
0.85,0.079633524790573,39,3
0.85,0.078908842889325,40,3
0.85,0.083288415229747,41,3
0.85,0.080055450285609,42,3
0.85,0.079171047883359,43,3
0.85,0.081648054100858,44,3
0.85,0.078991887310991,45,3
0.85,0.079152426932039,46,3
0.85,0.081755374058671,47,3
0.85,0.080996108018322,48,3
0.85,0.080246347935684,49,3
0.85,0.081616968709096,50,3
0.85,0.079319260394635,51,3
0.85,0.079246760616444,52,3
0.85,0.080406153980866,53,3
0.85,0.08051363734098,54,3
0.85,0.081422485312725,55,3
0.85,0.079584840203969,56,3
0.85,0.080834581931583,57,3
0.85,0.081747017639776,58,3
0.85,0.079455474157602,59,3
0.85,0.082017968561369,60,3
0.85,0.081630978918482,61,3
0.85,0.079266371944107,62,3
0.85,0.080303219240148,63,3
0.85,0.078815484012544,64,3
0.85,0.080076363662965,65,3
0.85,0.079686822028353,66,3
0.85,0.080572457851344,67,3
0.85,0.079462571363371,68,3
0.85,0.08090545841129,69,3
0.85,0.079670231512321,70,3
0.85,0.080454127262403,71,3
0.85,0.079804623545491,72,3
0.85,0.080845937336387,73,3
0.85,0.081090685373798,74,3
0.85,0.08160364232166,75,3
0.85,0.079348150431387,76,3
0.85,0.078312269542364,77,3
0.85,0.080931843583326,78,3
0.85,0.077378278361634,79,3
0.85,0.079397442971991,80,3
0.85,0.079417665166044,81,3
0.85,0.079238554819922,82,3
0.85,0.081102750887519,83,3
0.85,0.079238523283487,84,3
0.85,0.079819427840992,85,3
0.85,0.079400574641583,86,3
0.85,0.079066821220559,87,3
0.85,0.080296679407312,88,3
0.85,0.081483939683835,89,3
0.85,0.080253769836988,90,3
0.85,0.079172040589871,91,3
0.85,0.080560280490363,92,3
